model_code,price,tank_type,motor_speed,drum_capacity,door_opening_direction,height,depth,width,motor_type,energy_label,safety_system,brand
PAKSHOMA-WM-TLX-7001iW,8450000.0,Top Load,1400.0,7.0,up,100.0,55.0,55.0,Belt Drive,1.0,1.0,PAKSHOMA
PAKSHOMA-WM-UFW-10700WT,18800000.0,Front Load,1000.0,7.0,left,85.0,50.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-UFW-20800W,20300000.0,Front Load,1200.0,8.0,left,85.0,54.0,60.0,Universal,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-UWF-20800ST,20300000.0,Front Load,1200.0,8.0,left,85.0,54.0,60.0,Universal,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-UWF-20800WT,20300000.0,Front Load,1200.0,8.0,left,85.0,54.0,60.0,Universal,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-UWF-20800iWT,20300000.0,Front Load,1200.0,8.0,left,85.0,54.0,60.0,Universal,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-UWF-20801,19000000.0,Unknown,1200.0,8.0,left,85.0,54.0,60.0,Unknown,3.0,1.0,PAKSHOMA
SAM-WM-BL-P1465,18900000.0,Unknown,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,3.0,1.0,SAM
SAM-WM-BL-P1485,24700000.0,Unknown,1400.0,9.0,left,85.0,60.0,59.5,Direct Drive,3.0,1.0,SAM
SAM-WM-BL-P1485I,24700000.0,Front Load,1400.0,9.0,left,85.0,60.0,59.5,Direct Drive,3.0,1.0,SAM
SAM-WM-BL-Q1465/IN,18900000.0,Front Load,1400.0,8.0,left,85.0,60.0,59.5,Belt Drive,3.0,1.0,SAM
SAM-WM-BL-Q1465/W,18900000.0,Front Load,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
SAM-WM-BL-Q1465W,21706250.0,Front Load,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
SAM-WM-BL-Q1475/IN,19900000.0,Front Load,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
SAM-WM-BL-Q1475/WW,19900000.0,Unknown,1400.0,8.0,left,85.0,60.0,59.7,BLDC,3.0,1.0,SAM
SAM-WM-DD-P1485/IN,24700000.0,Unknown,1400.0,9.0,left,85.0,60.0,59.5,Direct Drive,3.0,1.0,SAM
SAM-WM-DD-P1485/W,24700000.0,Unknown,1400.0,9.0,left,85.0,60.0,59.5,Direct Drive,3.0,1.0,SAM
SAM-WM-Q1435W,19600000.0,Front Load,1400.0,8.0,left,85.0,60.0,60.0,Belt Drive,3.0,1.0,SAM
SAM-WM-UN-Q1435/I,19600000.0,Unknown,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
SAM-WM-UN-Q1435/W,19600000.0,Front Load,1400.0,8.0,left,85.0,60.0,60.0,Belt Drive,3.0,1.0,SAM
SAM-WM-UN-Q1435I,19600000.0,Unknown,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
