id,model_code,price,ارتفاع,سایر ویژگی‌ها,عمق,شناسه,پهنا,امکانات ویژه,سیستم ایمنی,تنظیمات دستگاه,تعداد سبد,ظرفیت (نفر),وزن,میزان صدا,نوع ماشین ظرفشویی,متوسط میزان مصرف آب در هر شست و شو,تعداد قفسه های بالا,تعداد برنامه های شست‌وشو,نمودار میزان مصرف انرژی,جایگاه نگهداری
11,GPLUS-DW-GDW-P5673,,۸۴.۵ سانتی‌متر,شستشو با نصف ظرفیت / شستشو در زمان دلخواه (Delay Start) / برنامه‌ی شستشو ظروف بسیار کثیف / برنامه‌ی شستشوی روزانه‌ی ۹۰ دقیقه‌ای,۶۱ سانتی‌متر,۲۹۰۰۳۱۷۸۰۷۶۵۲,۵۹.۸,شست‌وشوی اقتصادی (Eco),قفل کودک,,سه عدد,۱۵,,۴۹ دسی‌بل,مبله,۱۱ لیتر,,۶,A++,
12,GPLUS-DW-GDW-M1463S,,۸۴.۵ سانتی‌متر,طبقه سوم مجزا قابلیت تنظیم ارتفاع طبقه دوم برنامه پیش شستشو جهت خیس خوردن ظروف (Pre-Rinse) برنامه شستشوی پرقدرت برای ظروف بسیار کثیف (Intensive) انجام شستشو در زمان دلخواه (Delay Start) Eco برنامه جهت شستشوی اقتصادی برنامه ویژه جهت شستشوی ملایم ظروف کریستالی (Crystal Care) برنامه شستشوی سریع (Rapid) برنامه شستشوی سبک برای ظروف نه چندان کثیف (Light) برنامه شستشو جهت تمیزی بدنه و بخش‌های داخلی دستگاه (Self Clean),۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۵۲,۶۰,شست‌وشوی سریع,,,سه عدد,۱۴,,۴۷ دسیبل,مبله,۱۳,,۸,A++,
13,GPLUS-DW-GDW-N4673S,,۸۴.۵ سانتی‌متر,- دارای طبقه سوم مجزا۳rd Rack - دارای صفحه نمایشLED - دارای ۷ برنامه اصلی شستشو - مجهز به سنسور تشخیص میزان کثیفی ظروف و تنظیمخودکار برنامه شستشوAuto Wash - دارای برنامه ویژه جهت شستشوی ظروف بلورGlass - جهز به برنامه شستشوی سریعRapid - دارای برنامه شستشوی روزانه در۹۰دقیقه۹۰Min - مجهز به برنامه شستشوی پرقدرت برای ظروف بسیار کثیفIntensive - دارای برنامهجهت شستشوی ظروف پر مصرفNormal - دارای برنامه جهت شستشوی اقتصادیEco - قابلیت شستشوی نصف ظرفیت(Half Load) - انجام شستشو در زمان دلخواهDelay Start - مجهز به قفل کودکChild Lock,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۹۰,۵۹.۸,,,,سه عدد,۱۵,,۴۷,,۱۱ لیتر,,,++A,
14,GPLUS-DW-GDW-M1352S,,۸۴.۵ سانتی‌متر,قابلیت تنظیم ارتفاع طبقه‌ی دوم / قابلیت تنظیم ارتفاع سبد میانی / برنامه پیش شست‌وشو جهت خیس خوردن ظروف (Pre-Rinse) / برنامه شست‌وشوی پرقدرت برای ظروف بسیار کثیف (Intensive) / قابلیت انجام شست‌وشو در زمان دلخواه (Delay Start) / دارای سبد مجزا برای قاشق و چنگال / برنامه شست‌وشوی سریع در ۳۰ دقیقه / برنامه شست‌وشوی روزانه در ۹۰ دقیقه,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۷۶,۶۰,شست‌وشوی اقتصادی (Eco),قفل کودک,,دو عدد,۱۳,,۴۹,مبله,۱۱,,۵,A++,
15,GPLUS-DW-GDW-F443W,,۸۴.۵ سانتی‌متر,دارای صفحه نمایش LED / دارای طبقه سوم مجزا / دارای برنامه ویژه جهت شست‌وشوی ظروف بلور (Glass) / مجهز به عملکرد خشک‌کن اضافه (Extra Dryin) / دارای برنامه شست‌وشوی پرقدرت برای ظروف بسیار کثیف (Intensi) / شست‌وشوی روزانه در ۹۰ دقیقه (۹۰Min) / شست‌وشوی ظروف پرمصرف (Normal) / برنامه جهت شست‌وشوی اقتصادی (Eco) / برنامه شست‌وشوی نصف ظرفیت (Half Load) / انجام شست‌وشو در زمان دلخواه (Delay Start),۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۸۰۱۷,۵۹.۸,شست‌وشوی سریع,قفل کودک,تایمر,سه عدد,۱۴,,۴۹,مبله,۱۳ لیتر,,۷,A+,
16,GPLUS-DW-GDW-M1352W,,۸۴.۵ سانتی‌متر,قابلیت تنظیم ارتفاع طبقه دوم برنامه پیش شستشو جهت خیس خوردن ظروف (Pre-Rinse) برنامه شستشوی پرقدرت برای ظروف بسیار کثیف (Intensive) انجام شستشو در زمان دلخواه (Delay Start) Eco برنامه جهت شستشوی اقتصادی سبد مجزا برای قاشق و چنگال برنامه شستشوی سریع در ۳۰ دقیقه برنامه شستشوی روزانه در ۹۰ دقیقه قفل کودک,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۴۵,۶۰,,قفل کودک,,دو عدد,۱۳,,۴۹,مبله,۱۱,,۵,َA++,
17,GPLUS-DW-GDW-M1463W,,۸۴.۵ سانتی‌متر,طبقه سوم مجزا قابلیت تنظیم ارتفاع طبقه دوم برنامه پیش شستشو جهت خیس خوردن ظروف (Pre-Rinse) برنامه شستشوی پرقدرت برای ظروف بسیار کثیف (Intensive) انجام شستشو در زمان دلخواه (Delay Start) Eco برنامه جهت شستشوی اقتصادی برنامه ویژه جهت شستشوی ملایم ظروف کریستالی (Crystal Care) برنامه شستشوی سریع (Rapid) برنامه شستشوی سبک برای ظروف نه چندان کثیف (Light) برنامه شستشو جهت تمیزی بدنه و بخش‌های داخلی دستگاه (Self Clean),۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۸۳,۶۰,شست‌وشوی سریع,قفل کودک,,سه عدد,۱۴,,۴۷ دسیبل,مبله,۱۳,,۸,A++,
18,GPLUS-DW-GDW-P5993W,,۸۴.۵ سانتی‌متر,شستشوی سریع / قابلیت خیساندن ظروف پیش از شستشو / شستشو با نصف ظرفیت / انجام شستشو در زمان دلخواه (Delay Start) / شستشو روزانه‌ی ۹۰ دقیقه‌ای / باز شدن خودکار درب پس از اتمام شستشو,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۷۶۳۸,۵۹.۸,شست‌وشوی اقتصادی (Eco),قفل کودک,,سه عدد,۱۵,,۴۴ دسی‌بل,,۱۱ لیتر,,۸ تا اصلی و ۲ تا تکمیلی,A++,
19,GPLUS-DW-GDW-P5993S,,۸۴.۵ سانتی‌متر,شستشوی سریع / قابلیت خیساندن ظروف پیش از شستشو / شستشو با نصف ظرفیت / انجام شستشو در زمان دلخواه (Delay Start) / شستشو روزانه‌ی ۹۰ دقیقه‌ای / باز شدن خودکار درب پس از اتمام شستشو,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۷۶۲۱,۵۹.۸,شست‌وشوی اقتصادی (Eco),قفل کودک,,سه عدد,۱۵,,۴۴ دسی‌بل,مبله,۱۱ لیتر,,۸,A++,
20,GPLUS-DW-GDW-F453W,"۳۱,۶۲۵,۰۰۰",۸۴.۵ سانتی‌متر,دارای ۶ برنامه اصلی شست‌وشو و ۱ عملکرد تکمیلی / دارای طبقه سوم مجزا / دارای صفحه‌ نمایش LED / دارای برنامه شست‌وشوی نصف ظرفیت (Half Load) / دارای برنامه شست‌وشو جهت تمیزی بدنه و بخش‌های داخلی دستگاه (Self Clean) / دارای برنامه شست‌وشوی ظروف بلور (Glass) / مجهز به عملکرد خشک‌کن اضافه (Extra Drying) دارای برنامه شست‌وشوی پرقدرت برای ظروف بسیار کثیف (Intensive) / دارای برنامه شست‌وشوی روزانه در ۹۰ دقیقه / دارای برنامه شست‌وشوی ظروف پرمصرف (Normal) / دارای برنامه شست‌وشوی اقتصادی (Eco) / قابلیت انجام شست‌وشو در زمان دلخواه (Delay Start),۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۷۹۷۳,۵۹.۸,شست‌وشوی سریع,قفل کودک,تایمر,سه عدد,۱۴,,۴۹,مبله,۱۳ لیتر,,۷,A+,
21,GPLUS-DW-GDW-M1463NS,,۸۴.۵ سانتی‌متر,طبقه سوم مجزا قابلیت تنظیم ارتفاع طبقه دوم برنامه پیش شستشو جهت خیس خوردن ظروف (Pre-Rinse) برنامه شستشوی پرقدرت برای ظروف بسیار کثیف (Intensive) انجام شستشو در زمان دلخواه (Delay Start) Eco برنامه جهت شستشوی اقتصادی برنامه ویژه جهت شستشوی ملایم ظروف کریستالی (Crystal Care) برنامه شستشوی سریع (Rapid) برنامه شستشوی سبک برای ظروف نه چندان کثیف (Light) برنامه شستشو جهت تمیزی بدنه و بخش‌های داخلی دستگاه (Self Clean) موتور بدون تسمه,۶۰ سانتی‌متر,۲۹۰۰۳۱۷۸۰۶۹۶۹,۶۰,شست‌وشوی سریع,,,سه عدد,۱۴,,۴۷,مبله,۱۳,,۸,A++,
22,HIMALIA-DW-MDK16-BETA,,۸۴۵ سانتی‌متر,دارای دکمه های لمسی,۶۰۰ سانتی‌متر,۲۹۰۱۳۳۹۲۰۰۶۹۸,۶۰۰,خشک کن,قفل کودک,,سه عدد,۱۵,۴۳ گرم,۴۹,مبله,,,۶,A++,
23,KENWOOD-DW-KDW-3140,,۸۴.۵ سانتی‌متر,"قابلیت تاخیر در زمان شستشو از ۱ تا ۲۴ساعت دارای برنامه شستشوی قوی برنامه شستشوی سریع در ۳۰دقیقه دارای خشک کن اضافه نمایشگر LED قابلیت شستشوی ظروف کریستال دارای ۷ برنامه شستشو Eco, Auto, Glass, ۹۰ MIN, Rapid, Intensive, Normal",۵۹.۸ سانتی‌متر,۲۹۰۰۹۴۹۰۱۹۸۴۳,۶۰,شست‌وشوی سریع,قفل کودک,,سه عدد,۱۴,,۴۹,,۱۰,۱,۷,A++,
24,PAKSHOMA-DW-MDF-15306W,,۸۵ سانتی‌متر,دارای سیستم تاخیر در زمان شستشو تا ۲۴ ساعت,۶۰ سانتی‌متر,۲۹۰۰۹۴۹۰۱۴۲۷۵,۶۰,امکان شست‌وشوی میوه و سبزی,قفل کودک,,سه عدد,۱۵,۴۶ گرم,۴۷,مبله,۱۰,,۸,A++,قفسه بالا
25,PAKSHOMA-DW-MDF-14302,,۸۵۰ سانتی‌متر,-برنامه شدید شویی -قابلیت شستشو با نصف ظرفیت - قابلیت شستشو میوه و سبزی -شستشوی سریع -شستشوی ظروف حساس -شستشوی اقتصادی -دارای ۳ سبد -سه بازوی آب پاش -دارای نمایشگر LED -دکمه های لمسی -مجهز به قفل کودک -دارای نمایشگر اتمام مایع جلادهنده -دارای نمایشگر اتمام نمک -مجهز به سیستم تاخیر در زمان شستشو تا ۲۴ ساعت,۶۰۰ سانتی‌متر,۲۹۰۰۹۴۹۰۰۰۲۹۲,۶۰۰,امکان شست‌وشوی میوه و سبزی,قفل کودک,دکمه های لمسی,سه عدد,۱۴,۴۶ گرم,۴۹,مبله,۱۰,۲,۷,+++A,قفسه بالا
26,SAM-DW-DW-192ST,,۸۵ سانتی‌متر,شستشوی خودکار برنامه پیش شستشو جهت خیس خوردن ظروف انجام شستشو با تأخیر (Delay Logo) قابلیت خشک کن اضافی Extra Drying قابلیت تسریع شستشو Turbo Speed,۶۰ سانتی‌متر,۲۹۰۰۰۳۹۰۰۱۴۷۵,۶۰,شست‌وشوی سریع,قفل کودک,,سه عدد,۱۵,,,,۱۰,,,A+++,
27,SAM-DW-DW-186S,,۸۵ سانتی‌متر,پیش شستشو جهت خیس خوردن ظروف (Soak) شستشوی اقتصادی (Eco) شستشوی پر قدرت برای ظروف بسیار کثیف (Intensive),۶۰ سانتی‌متر,۲۹۰۰۰۳۹۰۰۱۲۵۳,۶۰,,,,سه عدد,۱۵,۴۵۰۰۰ گرم,,,,,۷,A++,
28,SAM-DW-DW-186,,۸۵ سانتی‌متر,پیش شستشو جهت خیس خوردن ظروف (Soak) شستشوی اقتصادی (Eco) شستشوی پر قدرت برای ظروف بسیار کثیف (Intensive),۶۰ سانتی‌متر,۲۹۰۰۰۳۹۰۰۱۲۵۳,۶۰,,,,سه عدد,۱۵,۴۵۰۰۰ گرم,,,,,۷,A++,
